word,total_score,appeared_times,averange_score
兴趣,161,62,2.5968
动画,191,62,3.0806
期望,178,62,2.871
眼镜,179,62,2.8871
女朋友,206,61,3.377
名字,180,61,2.9508
在于,203,61,3.3279
严肃,196,61,3.2131
努力,191,61,3.1311
看出,191,61,3.1311
事情,217,61,3.5574
终极,200,61,3.2787
悲壮,198,61,3.2459
段落,206,61,3.377
所有人,202,61,3.3115
表示,197,61,3.2295
合家欢,204,61,3.3443
姐妹,218,61,3.5738
猩红,207,61,3.3934
玩意儿,126,60,2.1
男女,178,60,2.9667
发挥,191,60,3.1833
美好,217,60,3.6167
无力,161,60,2.6833
万花筒,203,60,3.3833
特色,182,59,3.0847
找到,199,59,3.3729
战士,201,59,3.4068
不知,180,59,3.0508
受不了,162,59,2.7458
证明,190,59,3.2203
逆袭,204,59,3.4576
了看,174,59,2.9492
变得,181,59,3.0678
内核,186,59,3.1525
剧透,218,59,3.6949
文艺,190,59,3.2203
光环,180,59,3.0508
冲突,173,59,2.9322
反差,201,59,3.4068
巨人,181,59,3.0678
亲爹,217,59,3.678
处理,182,58,3.1379
合适,185,58,3.1897
衔接,185,58,3.1897
传统,197,58,3.3966
劇情,182,58,3.1379
我会,193,58,3.3276
从头,184,58,3.1724
交代,182,58,3.1379
回归,208,58,3.5862
分数,138,58,2.3793
拥有,195,57,3.4211
扯淡,148,57,2.5965
方面,187,57,3.2807
了解,181,57,3.1754
理由,162,57,2.8421
价值观,158,57,2.7719
暗黑,175,57,3.0702
喜感,195,57,3.4211
全世界,163,57,2.8596
乏善可陈,150,57,2.6316
狮子王,192,57,3.3684
种族,193,57,3.386
登场,201,56,3.5893
气场,183,56,3.2679
怪兽,173,56,3.0893
影城,188,56,3.3571
放在,177,56,3.1607
火箭,207,56,3.6964
失去,172,56,3.0714
坚持,179,56,3.1964
科学家,165,56,2.9464
儿子,173,56,3.0893
反转,184,56,3.2857
及格,156,56,2.7857
飞船,182,56,3.25
熟悉,182,55,3.3091
上看,167,55,3.0364
联系,195,55,3.5455
很大,167,55,3.0364
控制,184,55,3.3455
准备,178,55,3.2364
概念,172,55,3.1273
转变,150,55,2.7273
眼神,196,55,3.5636
对白,152,55,2.7636
亲情,192,55,3.4909
延续,194,55,3.5273
奇幻,165,55,3
死侍,183,55,3.3273
很酷,197,54,3.6481
有钱,171,54,3.1667
超越,188,54,3.4815
对决,184,54,3.4074
刻画,173,54,3.2037
伏笔,182,54,3.3704
展现,186,54,3.4444
区别,151,54,2.7963
肌肉男,169,54,3.1296
疲劳,150,54,2.7778
浪漫,217,54,4.0185
满满,179,54,3.3148
声音,170,54,3.1481
精灵,168,54,3.1111
做到,183,53,3.4528
相信,162,53,3.0566
后悔,160,53,3.0189
小时候,171,53,3.2264
衣服,169,53,3.1887
宣传片,154,53,2.9057
口碑,167,53,3.1509
